Date,Dialer,Agent,COID,AID,Campaign,Company,Phone,Included on Output File,Submitted As,Passed Type,Incentive Value,Coaching Notes
1/5/2017,F,Josh Deschaine,003G000002fqk5OIAQ,001G000001wLmNsIAK,OTM Responder - 2017 Jan Houston Dinner Seminar,LFP Health Services PLLC,8327246576,N,Registered,Sent Invite,$0.00 ,Sent Invite
1/6/2017,F,Gerard Pitts,003G000000rdtuvIAA,001G000000gwoRxIAI,OTM Responder - 2017 Jan Bethesda Dinner Seminar,Metro Renal Associates,2028775408,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/6/2017,F,Gerard Pitts,003A000000fZHajIAG,001A000000W90mJIAR,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Andre Babajanians MD,5625943766,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/6/2017,F,Ryan Fish,003A000000gbJSBIA2,001A000000W9GhCIAV,OTM Responder - 2017 Jan San Jose Dinner Seminar,Ricardo Lopez MD,4083478144,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/9/2017,F,Ashley Defilippo,003G000002LDlxQIAT,001G000001qkunhIAA,OTM Responder - 2017 Jan Houston Dinner Seminar,Evergreen Neurosurgery Center,2817199681,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/9/2017,F,Anthony Ryan,003A000000fYfalIAC,001A000000W9KcGIAV,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Bolsa Medical Group,7145312091,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/9/2017,F,Kim Warnick,003A000000bjwbWIAQ,001A000000W919mIAB,OTM Responder - 2017 Jan Orlando Dinner Seminar,Elizabeth M Krochak MD,3866735561,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/9/2017,F,Ryan Fish,003G0000013qIbQIAU,001A000000W8qEdIAJ,OTM Responder - 2017 Jan Orlando Dinner Seminar,Jack G Faup MD,4072993160,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/10/2017,F,Ashley Defilippo,003G0000012ghubIAA,001A000000W92iNIAR,OTM Responder - 2017 Jan Orlando Dinner Seminar,Blue Ridge Medical Center,8636791818,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/11/2017,F,Kim Warnick,003G0000013qJcnIAE,001A000000W8yOYIAZ,OTM Responder - 2017 Jan Orlando Dinner Seminar,Family Care ENT & Allergy,8637019510,x,Registered,Existing Customer,$0.00 ,recode to existing
1/12/2017,F,Anne Peabody,003G000002YdurOIAR,001G000001zSEq6IAG,OTM Responder - 2017 Jan Houston Dinner Seminar,Medwin Family Medicine & Rehab,8325320040,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/12/2017,F,Kim Warnick,003G0000013VPHMIA4,001G000000pHjwvIAC,OTM Responder - 2017 Jan Seattle Dinner Seminar,Aria Endocrinology,4252425412,x,Registered,Existing Customer,$0.00 ,recode to existing
1/13/2017,F,Anthony Ryan,003G0000013qLYXIA2,001A000000W9Ba4IAF,OTM Responder - 2017 Jan Orlando Dinner Seminar,Asthma Allergy Care Center,3867741221,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/17/2017,F,John Bonetti,003G000002LDkp3IAD,001G000001qkyW5IAI,OTM Responder - 2017 Jan New Orleans Dinner Seminar,Family Doctors Urgent Care Clinic,5043492273,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/19/2017,F,John Bonetti,003A000000fYuMsIAK,001A000000W9ArHIAV,OTM Responder - 2017 Jan New Orleans Dinner Seminar,Phuong T Vo MD APMC,5043285466,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/19/2017,F,Jeff Grygiel,003A000000fzPiBIAU,001A000000W96xeIAB,OTM Responder - 2017 Jan Seattle Dinner Seminar,Sung Shim Medical Clinic,2065427606,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/19/2017,F,Mitch Adams,003A000000fYtnhIAC,001A000000W9H63IAF,OTM Responder - 2017 Feb Pasadena Dinner Seminar,Nu Khin Medical Clinic,6262817654,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/20/2017,F,Josh Deschaine,003G0000013UQL5IAO,001G000000pHZUZIA4,"OTM Responder - 2017 Feb Richmond, VA Dinner Seminar",Kenner Army Family Medicine Clinic,8047349993,x,Registered,Specialty Not Applicable,$0.00 ,recode to spec not applic.
1/23/2017,F,Josh Deschaine,003G000002LDgs7IAD,001G000001qkoDOIAY,OTM Responder - 2017 Jan Memphis Dinner Seminar,Sleep Health Center,9014051005,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/24/2017,F,Josh Deschaine,003A000000fYoY1IAK,001A000000W8rGLIAZ,OTM Responder - 2017 Feb Pasadena Dinner Seminar,Jaykumar Shah MD,6264464404,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/24/2017,F,Jim McGonigle,003G000000rdzvCIAQ,001G000000gwoRAIAY,OTM Responder - 2017 Feb Pasadena Dinner Seminar,Pai-Hsiang Chen MD,6264462360,N,Registered,Callback,$0.00 ,recode to acb
1/30/2017,F,Josh Deschaine,003A000000e7TEDIA2,001A000000W8xU3IAJ,OTM Responder - 2017 Feb Baltimore Dinner Seminar,Emma Zargarian MD,4108288367,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/30/2017,F,Josh Deschaine,003A000000fYhvTIAS,001A000000W8lnsIAB,OTM Responder - 2017 Feb Pasadena Dinner Seminar,Tin Y Yung MD,6263070550,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/30/2017,F,Jeff Grygiel,003A000000e7U2yIAE,001A000000W8KS9IAN,OTM Responder - 2017 Feb Baltimore Dinner Seminar,Laurel Pines Pediatrics,3013620506,N,Registered,Sent Invite,$0.00 ,recode to sent inv
1/31/2017,F,Debora Fleury,003G0000013VM7mIAG,001G000000pHhR6IAK,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Arcadia Foot And Ankle PC,6029553338,x,Registered,Existing Customer,$0.00 ,recode to existing
1/31/2017,F,John Bonetti,003G000000ptttyIAA,001A000000W9HGdIAN,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Arizona Podiatry Speacialist,6238480123,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/1/2017,F,Gerard Pitts,003A000000e7SzEIAU,001A000000W8WV7IAN,OTM Responder - 2017 Feb Baltimore Dinner Seminar,Peter P Stamas MD,4108281414,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/1/2017,F,Gerard Pitts,003A000000fYaKPIA0,001A000000W93lXIAR,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Ocotillo Foot & Ankle Centers,4808950276,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/1/2017,F,John Bonetti,003A000000e7V8CIAU,001A000000W8WTsIAN,OTM Responder - 2017 Feb Baltimore Dinner Seminar,Rosedale Medical Center,4103913700,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/1/2017,F,John Bonetti,003G000000rhJJAIA2,001G000000gwph0IAA,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Southern Avenue Family Practice,4807770077,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/1/2017,F,John Bonetti,003A000000fYQlUIAW,001A000000W8jaSIAR,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Charles R Breed MD,4808978484,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/2/2017,F,Gerard Pitts,003A000000adGzVIAU,001A000000W8lsPIAR,OTM Responder - 2017 Feb New Brunswick Dinner Seminar,Dermatology Associates,7326796300,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/2/2017,F,Ryan Fish,003A000000fZJh8IAG,001A000000W8xQ5IAJ,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Arizona Neurology & Sleep Center,4807189241,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/3/2017,F,Gerard Pitts,003A000000PzxrOIAR,001A000000W8tS9IAJ,OTM Responder - 2017 Jacksonville Dinner Seminar,St Augustine Cardiology Associates,9048241776,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/6/2017,F,John Bonetti,003G0000012gMlrIAE,001G000000pGWa4IAG,OTM Responder - 2017 Feb New Brunswick Dinner Seminar,Simhadri Gupta MD,7325481770,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/7/2017,F,Gerard Pitts,003G0000017RB0TIAW,001A000000W9G35IAF,OTM Responder - 2017 Jacksonville Dinner Seminar,NeuroSurgical Assocs St Augustn,9048271711,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/7/2017,F,Gerard Pitts,003A000000ad8GdIAI,001A000000W8S9NIAV,OTM Responder - 2017 Feb New Brunswick Dinner Seminar,Rainbow Medical Clinic,7326790660,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/7/2017,F,John Bonetti,003A000000bk3gkIAA,001A000000W8tAKIAZ,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Flint Childrens Center,8107330400,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/8/2017,F,Anne Peabody,003A000000ewYROIA2,001A000000W8oE1IAJ,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Dov Schuchman MD,2483344211,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/8/2017,F,Jeff Grygiel,003A000000evDpkIAE,001A000000W8TFQIA3,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Jowher Kahleel MD,2484741144,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/8/2017,F,Kevin Clinton,003G000000zoOmkIAE,001G000000gwr1NIAQ,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Premier Medicine-MI,7344545454,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/13/2017,F,Jeff Grygiel,003G0000013qJSuIAM,001A000000W94h4IAB,OTM Responder - 2017 Feb Boca Raton Dinner Seminar,Integrated Dematology Palm Bch,5619646664,N,Registered,Sent Invite,$0.00 ,recode to sent inv
2/15/2017,F,John Bonetti,003A000000adB0JIAU,001A000000W8iTlIAJ,OTM Responder - 2017 Feb New Brunswick Dinner Seminar,Colts Neck Pediatrics,7326830099,x,Registered,Sent Info - Not In Market,$0.00 ,recode to SINC
1/4/2017,F,John Bonetti,003G0000013qHd8IAE,001A000000W91XMIAZ,OTM Responder - 2017 Jan Tampa Dinner Seminar,Andrew M Wolff MD,9419176700,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,SINC
1/4/2017,F,John Bonetti,003G0000013UiNYIA0,001G000000pHbAVIA0,OTM Responder - 2017 Jan Tampa Dinner Seminar,Vein Specialists Tampa,8133749002,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,SINC
1/4/2017,F,John Bonetti,003A000000fYcVTIA0,001A000000W8vifIAB,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Ivar E Roth DPM,9496501147,N,Sent Info - In Market,Sent Invite,$0.00 ,Sent Invite
1/4/2017,F,Josh Deschaine,003G0000013VKxmIAG,001G000000pHfqgIAC,OTM Responder - 2017 Jan Houston Dinner Seminar,Acclaimed Heart Vascular Center,2812900222,N,Sent Info - In Market,Callback,$0.00 ,Callback
1/4/2017,F,Josh Deschaine,003G0000013VL4HIAW,001G000000pHfvgIAC,OTM Responder - 2017 Jan Houston Dinner Seminar,Hillcroft Medical Clinic,7132735845,x,Sent Info - In Market,Decision Made Elsewhere,$0.00 ,DME
1/5/2017,F,Josh Deschaine,003G0000013UiCeIAK,001G000000pHb8yIAC,OTM Responder - 2017 Jan Tampa Dinner Seminar,Sunshine State Family Care,8136519396,N,Sent Info - In Market,Sent Invite,$0.00 ,Sent Invite
1/5/2017,F,Josh Deschaine,003G000002LDhQ1IAL,001G000001qkxh1IAA,OTM Responder - 2017 Jan Houston Dinner Seminar,Alexandria Medical Assoc PA,2815789000,N,Sent Info - In Market,Callback,$0.00 ,Callback
1/9/2017,F,John Bonetti,003G000002LDm72IAD,001G000001qkq2nIAA,OTM Responder - 2017 Jan San Jose Dinner Seminar,Xuananh Kriby Tran MD,6509625831,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/12/2017,F,Robyn Davis,003A000000fYvXBIA0,001A000000XyUHZIA3,OTM Responder - 2017 Jan Houston Dinner Seminar,Rabin & Greenberg Dermatology,7137976171,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/17/2017,F,Adam Hershkowitz,003A000000fzNTXIA2,001A000000W8ZtHIAV,OTM Responder - 2017 Jan San Jose Dinner Seminar,Mark I Zeme MD,5108896673,N,Sent Info - In Market,Callback,$0.00 ,recode to cb
1/17/2017,F,Adam Hershkowitz,003A000000fzMn6IAE,001A000000W9007IAB,OTM Responder - 2017 Jan San Jose Dinner Seminar,Denise Wong MD,4156651877,N,Sent Info - In Market,Callback,$0.00 ,recode to cb
1/18/2017,F,Anthony Ryan,003A000000bk2QQIAY,001A000000W8zv6IAB,OTM Responder - 2017 Jan Houston Dinner Seminar,George G Burnazian MD,7135275626,x,Sent Info - In Market,DM_Not_Interested,$0.00 ,recode to DM not interested
1/18/2017,F,Kevin Clinton,003G0000025juAyIAI,001G000001gx3hQIAQ,"OTM Responder - 2017 Feb Richmond, VA Dinner Seminar",Morris Cardiovascular & Risk Reduction Center,8045301044,x,Sent Info - In Market,DM_Not_Interested,$0.00 ,recode to DM not interested
1/19/2017,F,Gerard Pitts,003G000002LDk9eIAD,001G000001qkwpwIAA,OTM Responder - 2017 Jan San Jose Dinner Seminar,Lewis L Haut MD,4089988800,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/19/2017,F,Johanna Dejong,003G0000024iuO1IAI,001G000001fHGWMIA4,OTM Responder - 2017 Jan Orlando Dinner Seminar,Pediatrics Of Greater Orlando,4077046912,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/19/2017,F,Josh Deschaine,003A000000e8cZ2IAI,001A000000W8vu1IAB,"OTM Responder - 2017 Feb Richmond, VA Dinner Seminar",New Kent Foot Clinic,8047220467,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/23/2017,F,Josh Deschaine,003G000000yOJ3iIAG,001G000000mGWmbIAG,OTM Responder - 2017 Jan Seattle Dinner Seminar,Meadow Medicine Corporation,2063635555,x,Sent Info - In Market,Existing Customer,$0.00 ,recode to existing
1/24/2017,F,Gerard Pitts,003G0000024ivUFIAY,001G000001fHHkAIAW,OTM Responder - 2017 Feb Austin Dinner Seminar,David Hernandez MD,8302140104,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/24/2017,F,Josh Deschaine,003A000000e7dIoIAI,001A000000W8PVCIA3,"OTM Responder - 2017 Feb Richmond, VA Dinner Seminar",Partners In Pediatrics,8043777100,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/24/2017,F,Jeff Grygiel,003A000000fYS2WIAW,001A000000W8tVbIAJ,OTM Responder - 2017 Feb Pasadena Dinner Seminar,ABC Medical Clinic,6262884840,N,Sent Info - In Market,Sent Invite,$0.00 ,recode to sent inv
1/24/2017,F,Mitch Adams,003A000000fYimnIAC,001A000000W9HVuIAN,OTM Responder - 2017 Feb Austin Dinner Seminar,Guadalupe Family Health PA,8303797901,x,Sent Info - In Market,Existing Customer,$0.00 ,recode to existing
1/26/2017,F,Johanna Dejong,003A000000fYVbCIAW,001A000000W8ss4IAB,OTM Responder - 2017 Feb Pasadena Dinner Seminar,Tao T Nguyen MD,3235836516,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/30/2017,F,Johanna Dejong,003G0000013VMDEIA4,001G000000pHhUbIAK,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Lifeline Internal Medicine,4802196840,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/31/2017,F,Johanna Dejong,003A000000bl8awIAA,001A000000W91YRIAZ,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Susan A Briceland MD,6235466599,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
2/1/2017,F,Jeff Grygiel,003A000000e7XgoIAE,001A000000W8yUpIAJ,OTM Responder - 2017 Feb Baltimore Dinner Seminar,Khosrow F Sayed-Makki MD,3013455877,N,Sent Info - In Market,Sent Invite,$0.00 ,recode to sent inv
2/1/2017,F,Paul Gallant,003G0000013qHf5IAE,001A000000W8u6hIAB,OTM Responder - 2017 Feb Boca Raton Dinner Seminar,Sunrise Family Foot Care Center,9547489444,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
2/3/2017,F,Jeff Grygiel,003A000000evA8gIAE,001A000000W8MTIIA3,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Health Solutions Familypractice,7348226001,x,Sent Info - In Market,DM_Not_Interested,$0.00 ,recode to DM not int
2/7/2017,F,John Bonetti,003G0000013qKCPIA2,001A000000W8zQPIAZ,OTM Responder - 2017 Jacksonville Dinner Seminar,Heart Center Of Saint Augustine,9048254333,x,Sent Info - In Market,Influencer Refused,$0.00 ,recode to inf ref
2/7/2017,F,Jeff Grygiel,003G0000025BBCYIA4,001G000001gUDH1IAO,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Partridge Creek OB/GYN,5862478609,N,Sent Info - In Market,Sent Invite,$0.00 ,recode to sent inv
2/8/2017,F,Jeff Grygiel,003G000002B73tmIAB,001G000001lkis3IAA,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Abelardo Contreras MD PC,2489774548,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
2/8/2017,F,Jeff Grygiel,003A000000fYzIZIA0,001A000000W8YseIAF,OTM Responder - 2017 Feb Phoenix Dinner Seminar,Arizona Center Fertility Studie,4806300212,x,Sent Info - In Market,Specialty Not Applicable,$0.00 ,recode to spec not app
2/9/2017,F,Jeff Grygiel,003A000000ewaQOIAY,001A000000W8YRtIAN,OTM Responder - 2017 Feb Birmingham Dinner Seminar,Synergy Health PC,2484195111,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
2/13/2017,F,Robyn Davis,003G0000013qGAqIAM,001A000000W8dFtIAJ,OTM Responder - 2017 Feb Boca Raton Dinner Seminar,Vivian P Rose MD,9545754040,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
2/15/2017,F,Amy Day,003G000000vzuhNIAQ,001A000000XxABJIA3,OTM Responder - 2017 Feb New Brunswick Dinner Seminar,Agrin Mullarkey & Shulman MDs,7325451065,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
2/15/2017,F,John Bonetti,003A000000adQmAIAU,001A000000W8JbdIAF,OTM Responder - 2017 Feb New Brunswick Dinner Seminar,Derrick M Desilva MD,7327388801,x,Sent Info - In Market,Sent Info - Not In Market,$0.00 ,recode to SINC
1/11/2017,F,Amy Day,,,Q1 2017 Voice B2B Campaign,Dyna Vox Inc,4123814883,x,Sent Info - Not In Market,Sent Info - Not In Market,$0.00 ,
1/11/2017,F,Amy Day,,,Q1 2017 Voice B2B Campaign,General Devices Co Inc,3178977000,x,Sent Info - Not In Market,Sent Info - Not In Market,$0.00 ,
2/7/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,BONAPEDA Enterprises LLC,9734159090,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/7/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,Laffie Financial Group,5163647396,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/8/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,Owens Recovery Science,2109209204,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/9/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,Reha Technology Inc.,2674198690,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/10/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,Health Connector LLC,9204300252,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/14/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,"Treace Medical Concepts, Inc.",9043735940,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/14/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,PhysioTools,8884492338,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
2/14/2017,F,Tsinat Efrem,,,Q1 2017 Voice B2B Campaign,CONVAID/R82/ETAC,8882668243,x,Sent Info - In Market,Sent Info - In Market,$5.00 ,
1/3/2017,F,Allison Novak,003G0000024kLPNIA2,001G000001htAuoIAE,OTM Responder - 2017 Jan Houston Dinner Seminar,Berta De Leon-Scaglia Md Pa,7139283300,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Allison Novak,003G0000013UiW9IAK,001G000000pHbBYIA0,OTM Responder - 2017 Jan Tampa Dinner Seminar,First Care,8134434611,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Anne Peabody,003G0000013qGb9IAE,001A000000W9CjoIAF,OTM Responder - 2017 Jan Tampa Dinner Seminar,Lalitha E Jacob MD,7275281888,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Anthony Ryan,003A000000czLxOIAU,001G000000gwnklIAA,OTM Responder - 2017 Jan Tampa Dinner Seminar,Govindan P Nair MD,7273216768,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Debora Fleury,003A000000fYhabIAC,001A000000W8uvXIAR,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Michele M Amirkhan MD Inc,7146677922,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Gerard Pitts,003G000001BUodnIAD,001G000000w9QjvIAE,OTM Responder - 2017 Jan Houston Dinner Seminar,Dr Payman Arabzadeh Md,8324447477,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Gerard Pitts,003A000000cxHz8IAE,001A000000W8QwIIAV,OTM Responder - 2017 Jan Tampa Dinner Seminar,FL Cardiothoracic & Vascular,8136430033,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Johanna Dejong,003G0000024ix1bIAA,001G000001fHGHwIAO,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,So Cal Endocrin Medical Group,7149975000,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,John Bonetti,003G000000reYVmIAM,001A000000W8ZdpIAF,OTM Responder - 2017 Jan Houston Dinner Seminar,William Gilmer Md,7136300228,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,John Bonetti,003A000000fZLlaIAG,001A000000W9CUHIA3,OTM Responder - 2017 Jan Houston Dinner Seminar,Spine Center,2812921121,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,John Bonetti,003A000000fZ77QIAS,001A000000W9FaMIAV,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Adobe Medical Group,9493621515,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,John Bonetti,003A000000fYOAcIAO,001A000000W8gBAIAZ,OTM Responder - 2017 Jan Costa Mesa Dinner Seminar,Daniel L Fortmann MD,9494937981,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,John Bonetti,003G0000013qF2hIAE,001A000000W8TV1IAN,OTM Responder - 2017 Jan Tampa Dinner Seminar,James C Neiman MD,7273199111,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Josh Deschaine,003A000000cxI5bIAE,001A000000W8o3CIAR,OTM Responder - 2017 Jan Tampa Dinner Seminar,William O Deweese MD,8139718101,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
1/3/2017,F,Kevin Clinton,003G000002LDdndIAD,001G000001qksbsIAA,OTM Responder - 2017 Jan Houston Dinner Seminar,Center For Rheumatology & Arthrts Care,7134442528,x,Sent Info - In Market,Sent Info - In Market,$1.50 ,
